bhid,from,to,lith,weath
L11,24.5,26.5,TQ1a,OXIDE
L11,26.5,28,,OXIDE
L11,28,39,TQ1a,OXIDE
L16-N1,0,0.426,,OXIDE
L16-N1,0.426,9.95,,FRESH
L16-N1,9.95,41.05,TQ1,FRESH
L16-N1,41.05,51,,FRESH
L16-N1,51,54,TQ2,FRESH
L16-N10,0,13.2,,FRESH
L16-N10,13.2,14.75,TQ2,FRESH
L16-N2,0,6.1,TQ1,FRESH
L16-N3,0,13.1,TQ1,FRESH
L16-N3,13.1,15.2,,FRESH
L16-N3,15.2,20.9,TQ1,FRESH
L16-N3,20.9,26.05,,FRESH
L16-N3,26.05,28.45,TQ1,FRESH
L16-N3,28.45,34.8,,FRESH
L16-N3,34.8,36.7,TQ2,FRESH
L16-N4,0,3.6,TQ1,FRESH
L16-N4a,0,8.55,,FRESH
L16-N4a,8.55,11,TQ1a,FRESH
L16-N4a,11,15.4,,FRESH
L16-N4a,15.4,21.25,TQ1a,FRESH
L16-N5,0,7,,FRESH
L16-N5,7,12.4,TQ1a,FRESH
L16-N6,0,5,,FRESH
L16-N6,5,13.4,TQ1,FRESH
L16-N6,13.4,17.05,,FRESH
L16-N6,17.05,25,TQ1,FRESH
L16-N6,25,30.2,,FRESH
L16-N6,30.2,33.9,TQ2,FRESH
L16-N7,0,10,,FRESH
L16-N7,10,10.7,TQ1a,FRESH
L16-N7,10.7,12.9,,FRESH
L16-N7,12.9,18,TQ1a,FRESH
L16-N8,0,3.8,TQ1,FRESH
L16-N8,3.8,7,,FRESH
L16-N8,7,8,TQ1,FRESH
L16-N8,8,13.1,,FRESH
L16-N8,13.1,15.5,TQ1,FRESH
L16-N8,15.5,23.1,,FRESH
L16-N8,23.1,27.9,TQ2,FRESH
L16-N9,0,4.5,,FRESH
L16-N9,4.5,5.5,TQ1,FRESH
L16-N9,5.5,13.65,,FRESH
L16-N9,13.65,18,TQ1a,FRESH
L16-N9,18,21,,FRESH
L16-N9,21,30.6,TQ1a,FRESH
L17-N3,0,8.1,,FRESH
L17-N3,8.1,8.75,TQ11,FRESH
L17-N5,0,1.25,TQ10,FRESH
L17-N6,0,10.9,TQ10,FRESH
L17-N8,0,1.3,,FRESH
L17-N8,1.3,12.5,TQ10,FRESH
L22,0,17.55,,OXIDE
L22,17.55,18.85,TQ1,OXIDE
L22,18.85,21,,OXIDE
L22,21,54.15,TQ1,OXIDE
L22,54.15,58.3,,OXIDE
L22,58.3,70.2,TQ1,OXIDE
L22,70.2,74.7,,OXIDE
L22,74.7,81.95,TQ2,OXIDE
L4-N1,0,4.35,,OXIDE
L4-N1,4.35,20,TQ1,OXIDE
L4-N1,20,24,,OXIDE
L4-N1,24,29.9,TQ2,OXIDE
L4-N2,0,8,,OXIDE
L4-N2,8,16.8,TQ1,OXIDE
L4-N3,0,3.05,,FRESH
L4-N3,3.05,17.4,TQ1,FRESH
L4-N3,17.4,19.9,,FRESH
L4-N3,19.9,24.9,TQ2,FRESH
L4-N4,0,4,,FRESH
L4-N4,4,7.1,TQ1,FRESH
L4-N4,7.1,9.4,,FRESH
L4-N4,9.4,22.5,TQ1,FRESH
L9-N1,0,0.7,TQ1,FRESH
L9-N1,0.7,2.7,,FRESH
L9-N1,2.7,23.3,TQ1a,FRESH
L9-N11,0,1.5,TQ1a,FRESH
L9-N11,1.5,6,,FRESH
L9-N11,6,35.5,TQ1,FRESH
L9-N12,0,1.7,TQ1a,FRESH
