bhid,dip,azim,depth
L11,0.000,151.000,0.000
L16-N1,0.000,-28.000,0.000
L16-N10,0.000,-24.000,0.000
L16-N2,0.000,156.000,0.000
L16-N3,0.000,-29.000,0.000
L16-N4,0.000,-23.000,0.000
L16-N4a,0.000,161.000,0.000
L16-N5,0.000,156.000,0.000
L16-N6,0.000,-19.000,0.000
L16-N7,0.000,152.000,0.000
L16-N8,0.000,-16.000,0.000
L16-N9,0.000,155.000,0.000
L17-N3,0.000,150.000,0.000
L17-N5,0.000,146.000,0.000
L17-N6,0.000,-38.000,0.000
L17-N8,0.000,-25.000,0.000
L22,0.000,-29.000,0.000
L4-N1,0.000,-40.000,0.000
L4-N2,0.000,162.000,0.000
L4-N3,0.000,-20.000,0.000
L4-N4,0.000,153.000,0.000
L9-N1,0.000,143.000,0.000
L9-N11,0.000,-24.000,0.000
L9-N12,0.000,150.000,0.000
L9-N13,0.000,-19.000,0.000
L9-N14,0.000,162.000,0.000
L9-N15,0.000,-20.000,0.000
L9-N16,0.000,161.000,0.000
L9-N17,0.000,-26.000,0.000
L9-N18,0.000,154.000,0.000
L9-N19,0.000,-27.000,0.000
L9-N1a,0.000,145.000,0.000
L9-N2,0.000,-32.000,0.000
L9-N20,0.000,152.000,0.000
L9-N2a,0.000,-35.000,0.000
L9-N3,0.000,-28.000,0.000
L9-N4,0.000,152.000,0.000
L9-N5,0.000,-30.000,0.000
L9-N7,0.000,-25.000,0.000
L9-N8,0.000,155.000,0.000
L9-N9,0.000,-24.000,0.000
LK010,-76.500,148.000,0.000
LK010,-76.500,148.000,4.000
LK010,-75.667,148.000,14.000
LK010,-75.333,148.000,24.000
LK010,-75.000,148.000,34.000
LK010,-74.500,150.000,44.000
LK010,-74.500,145.000,54.000
LK010,-74.250,140.000,64.000
LK010,-74.000,150.000,74.000
LK010,-73.250,154.000,84.000
LK010,-72.500,155.000,94.000
LK010,-71.750,158.000,104.000
LK010,-71.250,160.000,114.000
LK010,-71.000,161.000,124.000
LK010,-70.500,160.000,134.000
LK010,-70.000,160.000,144.000
LK010,-67.667,160.000,154.000
LK010,-65.250,160.000,164.000
LK010,-62.500,160.000,174.000
LK010,-60.500,160.000,184.000
LK011,-84.583,154.000,0.000
LK011,-84.583,154.000,1.000
LK011,-75.000,150.000,2.000
LK011,-74.750,145.000,10.000
LK011,-84.500,154.000,14.000
LK011,-74.500,146.000,20.000
LK011,-84.500,154.000,24.000
LK011,-73.833,150.000,30.000
LK011,-84.417,154.000,34.000
LK011,-70.000,148.000,40.000
LK011,-84.000,154.000,44.000
LK011,-69.500,147.000,50.000
LK011,-83.333,160.000,54.000
LK011,-88.500,149.000,60.000
LK011,-83.500,159.000,64.000
LK011,-67.500,150.000,70.000
LK011,-83.500,158.000,74.000
LK011,-67.167,150.000,80.000
LK011,-83.417,160.000,84.000
LK011,-65.333,154.000,90.000
LK011,-83.667,158.000,94.000
LK011,-63.333,155.000,100.000
LK011,-82.667,158.000,104.000
